troll_prevalence,troll_corrupt_rate,corrupt_action,proposed,run,annotation_train_acc,neural_test_weighted_f1
0.7,0.8,flip,TRUE,1,0.975,0.7981
0.7,0.8,flip,TRUE,2,0.975,0.8022
0.7,0.8,flip,TRUE,3,0.975,0.942
0.7,0.8,flip,TRUE,4,0.945,0.951
0.7,0.8,flip,TRUE,5,0.95,0.9228
0.7,0.8,flip,FALSE,1,0.315,0.1819
0.7,0.8,flip,FALSE,2,0.405,0.5838
0.7,0.8,flip,FALSE,3,0.335,0.1454
0.7,0.8,flip,FALSE,4,0.345,0.6894
0.7,0.8,flip,FALSE,5,0.33,0.3958
0.7,0.8,lazy,TRUE,1,0.92,0.9237
0.7,0.8,lazy,TRUE,2,0.915,0.9526
0.7,0.8,lazy,TRUE,3,0.9,0.9044
0.7,0.8,lazy,TRUE,4,0.875,0.9359
0.7,0.8,lazy,TRUE,5,0.925,0.9371
0.7,0.8,lazy,FALSE,1,0.87,0.92
0.7,0.8,lazy,FALSE,2,0.87,0.9404
0.7,0.8,lazy,FALSE,3,0.85,0.9332
0.7,0.8,lazy,FALSE,4,0.82,0.9365
0.7,0.8,lazy,FALSE,5,0.895,0.9233
0.7,0.95,flip,TRUE,1,1,0.9455
0.7,0.95,flip,TRUE,2,1,0.9435
0.7,0.95,flip,TRUE,3,1,0.9536
0.7,0.95,flip,TRUE,4,0.995,0.9487
0.7,0.95,flip,TRUE,5,0.995,0.8997
0.7,0.95,flip,FALSE,1,0.175,0.1071
0.7,0.95,flip,FALSE,2,0.185,0.4091
0.7,0.95,flip,FALSE,3,0.15,0.1073
0.7,0.95,flip,FALSE,4,0.17,0.3737
0.7,0.95,flip,FALSE,5,0.2,0.3644
0.7,0.95,lazy,TRUE,1,0.915,0.9124
0.7,0.95,lazy,TRUE,2,0.915,0.9095
0.7,0.95,lazy,TRUE,3,0.875,0.9336
0.7,0.95,lazy,TRUE,4,0.855,0.9479
0.7,0.95,lazy,TRUE,5,0.93,0.9279
0.7,0.95,lazy,FALSE,1,0.815,0.8131
0.7,0.95,lazy,FALSE,2,0.805,0.8542
0.7,0.95,lazy,FALSE,3,0.745,0.9281
0.7,0.95,lazy,FALSE,4,0.745,0.8117
0.7,0.95,lazy,FALSE,5,0.81,0.8993
0.3,0.8,flip,TRUE,1,0.99,0.9018
0.3,0.8,flip,TRUE,2,0.985,0.8987
0.3,0.8,flip,TRUE,3,0.99,0.9418
0.3,0.8,flip,TRUE,4,0.985,0.9231
0.3,0.8,flip,TRUE,5,0.99,0.8892
0.3,0.8,flip,FALSE,1,0.85,0.925
0.3,0.8,flip,FALSE,2,0.85,0.8777
0.3,0.8,flip,FALSE,3,0.815,0.9377
0.3,0.8,flip,FALSE,4,0.885,0.9166
0.3,0.8,flip,FALSE,5,0.85,0.9279
0.3,0.8,lazy,TRUE,1,0.99,0.9388
0.3,0.8,lazy,TRUE,2,0.995,0.9395
0.3,0.8,lazy,TRUE,3,1,0.9377
0.3,0.8,lazy,TRUE,4,0.995,0.9453
0.3,0.8,lazy,TRUE,5,0.995,0.9214
0.3,0.8,lazy,FALSE,1,0.98,0.9225
0.3,0.8,lazy,FALSE,2,0.985,0.9217
0.3,0.8,lazy,FALSE,3,0.97,0.9393
0.3,0.8,lazy,FALSE,4,0.985,0.9453
0.3,0.8,lazy,FALSE,5,0.995,0.9195
0.3,0.95,flip,TRUE,1,1,0.9131
0.3,0.95,flip,TRUE,2,1,0.9056
0.3,0.95,flip,TRUE,3,0.995,0.956
0.3,0.95,flip,TRUE,4,0.995,0.9463
0.3,0.95,flip,TRUE,5,0.995,0.903
0.3,0.95,flip,FALSE,1,0.81,0.894
0.3,0.95,flip,FALSE,2,0.77,0.8492
0.3,0.95,flip,FALSE,3,0.775,0.9287
0.3,0.95,flip,FALSE,4,0.84,0.9426
0.3,0.95,flip,FALSE,5,0.815,0.94
0.3,0.95,lazy,TRUE,1,0.99,0.9565
0.3,0.95,lazy,TRUE,2,0.995,0.8995
0.3,0.95,lazy,TRUE,3,1,0.9426
0.3,0.95,lazy,TRUE,4,0.995,0.932
0.3,0.95,lazy,TRUE,5,0.995,0.9187
0.3,0.95,lazy,FALSE,1,0.975,0.9291
0.3,0.95,lazy,FALSE,2,0.975,0.9317
0.3,0.95,lazy,FALSE,3,0.965,0.9432
0.3,0.95,lazy,FALSE,4,0.97,0.9385
0.3,0.95,lazy,FALSE,5,0.98,0.9495
